replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
9;Y ~ X1 + X2;0.5;300;1;1;1;0.373;0.974646513895661;0.948661532819949;5823;209;39.0761904761905;56.5264905968356;307;0.974409448818898;0.933372296902396;-0.0495323181818182
10;Y ~ X1 + X2;0.5;300;1;1;1;0.414181818181818;0.942493415276558;0.891663606316563;1601;524;17.3893129770992;33.0170216216964;201;0.942282176028306;0.855729984301413;0.183124263636364
11;Y ~ X1 + X2;0.5;300;1;1;1;0;NA;0.971300201723822;NA;NA;NA;NA;0;NA;0.971300201723822;-0.202522572727273
12;Y ~ X1 + X2;0.5;300;1;1;1;0.616909090909091;0.976271186440678;0.948838063745752;1191;323;41.8888888888889;81.9098125458992;64;0.976304023845007;0.904716303567153;0.2120898
13;Y ~ X1 + X2;0.5;300;1;1;1;0.859181818181818;0.974391534391534;0.952774715178243;1;485;38.8930041152263;54.2095421027294;1;0.974342527261065;0.820915032679739;-0.0895735363636364
14;Y ~ X1 + X2;0.5;300;1;1;1;0.568636363636364;0.977134633834346;0.965007347538575;791;287;43.4375;88.7362493041003;32;0.977379221198901;0.948712492019579;0.118295572727273
15;Y ~ X1 + X2;0.5;300;1;1;1;0.966363636363636;0.981183554426569;0.963601356926744;164;401;52.8855721393035;112.920599718546;2;0.981402410095835;0.453804347826087;0.176359409090909
16;Y ~ X1 + X2;0.5;300;1;1;1;0.981181818181818;0.981189770200148;0.962823226281402;1;407;52.906862745098;83.6637425925467;1;0.981236513744254;0.0192307692307692;-0.141587663636364
17;Y ~ X1 + X2;0.5;300;1;1;1;0.639636363636364;0.98137882018479;0.968689743825177;1741;263;53.3030303030303;100.359045461853;48;0.981359334671637;0.946132244064335;0.121805290909091
18;Y ~ X1 + X2;0.5;300;1;1;1;0.756909090909091;0.979461926495316;0.933357777981483;98;342;48.406976744186;85.8058979020853;2;0.979292806975054;0.790267823462844;-0.0660679363636364
