replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
26;Y ~ X1 + X2;0.5;1;300;1;1;0.4;0.916799272561946;0.906976744186046;3047;733;11.9891008174387;11.6909142718466;387;0.952380952380952;0.863636363636364;0.0705578454545455
27;Y ~ X1 + X2;0.5;1;300;1;1;0.367363636363636;0.916584158415842;0.970588235294118;2276;675;11.9556213017751;10.8508001755462;285;1;0.947368421052632;0.144375963636364
28;Y ~ X1 + X2;0.5;1;300;1;1;0.679545454545455;0.90943143812709;0.828571428571429;18;1354;11.0413589364845;10.8613397474317;4;0.863636363636364;0.769230769230769;-0.217302427272727
29;Y ~ X1 + X2;0.5;1;300;1;1;0.454818181818182;0.913634546181527;0.975609756097561;2;865;11.554272517321;10.7403029687597;2;1;0.966666666666667;0.133538327272727
30;Y ~ X1 + X2;0.5;1;300;1;1;0.537454545454545;0.810723951285521;0.735294117647059;2;2238;5.28328865058088;4.7125984895746;1;0.75;0.714285714285714;0.212064754545455
31;Y ~ X1 + X2;0.5;1;300;1;1;0.613272727272727;0.84299481097109;0.785714285714286;5;2119;6.36415094339623;6.00168671096951;3;0.941176470588235;0.545454545454545;0.212963654545455
32;Y ~ X1 + X2;0.5;1;300;1;1;0.365181818181818;0.921085387104805;0.888888888888889;6;634;12.6719242902208;12.7045143135665;1;0.882352941176471;0.894736842105263;0.166422181818182
33;Y ~ X1 + X2;0.5;1;300;1;1;0.461818181818182;0.921062992125984;0.954545454545455;1900;802;12.6683291770574;11.5499878550313;223;0.96;0.947368421052632;-0.0896347636363636
34;Y ~ X1 + X2;0.5;1;300;1;1;0.120727272727273;0.92394578313253;0.96551724137931;1;202;13.1485148514851;14.0181212283343;1;1;0.96;-0.0753872090909091
35;Y ~ X1 + X2;0.5;1;300;1;1;0.270818181818182;0.908663532572196;0.935483870967742;895;545;10.9120879120879;11.3321980938961;135;1;0.92;-0.102261518181818
36;Y ~ X1 + X2;0.5;1;300;1;1;0.450090909090909;0.91781098546042;0.8;20;813;12.1646191646192;11.0551651343483;2;0.875;0.714285714285714;-0.182058463636364
37;Y ~ X1 + X2;0.5;1;300;1;1;0.284181818181818;0.915547024952015;0.934782608695652;3;528;11.8409090909091;11.4770921089305;2;1;0.914285714285714;0.1113267
38;Y ~ X1 + X2;0.5;1;300;1;1;0.606454545454545;0.915604856843052;0.882352941176471;904;1126;11.8490230905861;11.2629654005215;95;0.870967741935484;0.9;0.161720318181818
